,vcc,sf,bw,pwr,cr,t_est,t_meas,i_q,i_tx
0,3300.0,7,125,-3,5,4.1216e-05,36.67,6.340879808131145,20.955377092212398
1,3300.0,7,125,-2,5,4.1216e-05,36.59,6.3294192641906015,21.682029123442696
2,3300.0,7,125,-1,5,4.1216e-05,36.62,7.33903284921089,22.426769881516588
3,3300.0,7,125,0,5,4.1216e-05,36.64,7.421473228967192,24.886207910319442
4,3300.0,7,125,1,5,4.1216e-05,36.63,6.336449446908411,26.19069837972403
5,3300.0,7,125,2,5,4.1216e-05,36.67,7.2064599376332765,27.449110546530807
6,3300.0,7,125,3,5,4.1216e-05,36.67,7.337726337375164,28.955037383741818
7,3300.0,7,125,4,5,4.1216e-05,36.66,6.928841241790805,30.660429353250436
8,3300.0,7,125,5,5,4.1216e-05,36.66,7.145973016531182,32.49782452289312
9,3300.0,7,125,6,5,4.1216e-05,36.65,7.320572896331969,34.637556699524595
10,3300.0,7,125,7,5,4.1216e-05,36.71,7.4024583563059005,36.774546502131365
11,3300.0,7,125,8,5,4.1216e-05,36.69,6.78796074996717,39.01862920728988
12,3300.0,7,125,9,5,4.1216e-05,36.71,7.355154559551037,41.40469796238
13,3300.0,7,125,10,5,4.1216e-05,36.73,7.13537013897215,43.818225963426194
14,3300.0,7,125,11,5,4.1216e-05,36.76,7.190568507798517,45.83401382699498
15,3300.0,7,125,12,5,4.1216e-05,36.75,6.900883649644121,47.36992155361777
16,3300.0,7,125,13,5,4.1216e-05,36.71,7.398296066667232,48.21947733415837
17,3300.0,7,125,14,5,4.1216e-05,36.72,7.252511197366417,48.61363817929355
18,3300.0,7,125,15,5,4.1216e-05,36.73,7.262180018518609,48.750143985994136
19,3300.0,7,250,-3,5,2.0608e-05,18.59,6.9711509788745865,20.997052565429552
20,3300.0,7,250,-2,5,2.0608e-05,18.58,7.955695788703884,21.746491113685117
21,3300.0,7,250,-1,5,2.0608e-05,18.57,8.004804517929891,22.497612850036685
22,3300.0,7,250,0,5,2.0608e-05,18.61,7.777445360964321,24.882361150807963
23,3300.0,7,250,1,5,2.0608e-05,18.59,8.13227415828021,26.202605677228867
24,3300.0,7,250,2,5,2.0608e-05,18.63,7.839552954886986,27.422583897198543
25,3300.0,7,250,3,5,2.0608e-05,18.6,6.337220305255295,28.928519392665113
26,3300.0,7,250,4,5,2.0608e-05,18.67,8.023385560102787,30.525024174133907
27,3300.0,7,250,5,5,2.0608e-05,18.65,8.09390862536066,32.39241878385268
28,3300.0,7,250,6,5,2.0608e-05,18.63,8.00598661949505,34.45300361629112
29,3300.0,7,250,7,5,2.0608e-05,18.69,8.007697790266107,36.51036529180718
30,3300.0,7,250,8,5,2.0608e-05,18.66,8.060268904178054,38.78124610706413
31,3300.0,7,250,9,5,2.0608e-05,18.69,8.12498534414917,41.09827382939296
32,3300.0,7,250,10,5,2.0608e-05,18.72,8.06488263605824,43.401201353455626
33,3300.0,7,250,11,5,2.0608e-05,18.74,8.06596979896414,45.37793798395509
34,3300.0,7,250,12,5,2.0608e-05,18.74,8.12344505047101,46.89382788725145
35,3300.0,7,250,13,5,2.0608e-05,18.68,8.116546180036003,47.78429450639123
36,3300.0,7,250,14,5,2.0608e-05,18.68,7.8710562903133106,48.1821803231474
37,3300.0,7,250,15,5,2.0608e-05,18.7,8.00227474007794,48.3573070758854
38,3300.0,7,500,-3,5,1.0304e-05,9.58,7.961101524565062,21.120282273590778
39,3300.0,7,500,-2,5,1.0304e-05,9.51,7.831476122343744,21.975096342007326
40,3300.0,7,500,-1,5,1.0304e-05,9.57,8.118728370654107,22.629348982400803
41,3300.0,7,500,0,5,1.0304e-05,9.56,8.251982430834847,24.98195135552783
42,3300.0,7,500,1,5,1.0304e-05,9.56,8.089858585034643,26.23160760035546
43,3300.0,7,500,2,5,1.0304e-05,9.7,6.326951719804684,27.207870372875618
44,3300.0,7,500,3,5,1.0304e-05,9.57,8.24848071142326,28.867767686959457
45,3300.0,7,500,4,5,1.0304e-05,9.61,8.354583780352055,30.42775339731942
